sample_id,county,crop,collection_date,soil_moisture_pct,temperature_c,aflatoxin_ppb,lab_id
S1000,Bungoma,Sorghum,2026-01-01,31.7,29.8,0.58,LAB-B
S1001,Nakuru,Groundnuts,2026-01-01,28.4,26.3,4.8,LAB-C
S1002,Meru,Sorghum,2026-01-01,9.3,24.8,2.31,LAB-C
S1003,Bungoma,Millet,2026-01-01,15.3,32.0,15.22,LAB-C
S1004,Machakos,Maize,2026-01-02,8.6,24.7,2.01,LAB-A
S1005,Meru,Maize,2026-01-02,21.5,25.4,6.55,LAB-A
S1006,Meru,Millet,2026-01-02,20.9,33.8,26.37,LAB-B
S1007,Bungoma,Maize,2026-01-03,30.4,18.0,9.3,LAB-B
S1008,Kiambu,Millet,2026-01-03,16.3,21.0,10.63,LAB-C
S1009,Machakos,Millet,2026-01-03,30.0,24.1,15.29,LAB-C
S1010,Bungoma,Millet,2026-01-03,34.1,32.9,2.3,LAB-C
S1011,Machakos,Maize,2026-01-04,10.4,19.1,2.65,LAB-B
S1012,Machakos,Sorghum,2026-01-04,29.4,18.2,7.41,LAB-A
S1013,Meru,Millet,2026-01-04,23.9,18.8,8.12,LAB-A
S1014,Nakuru,Groundnuts,2026-01-05,21.0,19.4,6.95,LAB-C
S1015,Machakos,Maize,2026-01-05,19.4,18.6,9.0,LAB-C
S1016,Kisumu,Millet,2026-01-05,29.2,25.7,14.56,LAB-C
S1017,Meru,Millet,2026-01-05,25.3,27.3,1.3,LAB-C
S1018,Kiambu,Groundnuts,2026-01-06,29.7,22.3,9.48,LAB-B
S1019,Nakuru,Sorghum,2026-01-06,32.4,24.4,13.14,LAB-A
S1020,Kisumu,Sorghum,2026-01-06,24.7,19.5,10.69,LAB-C
S1021,Kisumu,Sorghum,2026-01-07,34.5,23.4,11.45,LAB-B
S1022,Kiambu,Millet,2026-01-07,24.4,26.4,4.04,LAB-C
S1023,Nakuru,Millet,2026-01-07,25.2,29.7,3.02,LAB-C
S1024,Meru,Millet,2026-01-08,23.0,18.1,2.42,LAB-A
S1025,Nairobi,Maize,2026-01-08,10.5,25.5,1.31,LAB-C
S1026,Nakuru,Groundnuts,2026-01-08,27.6,22.8,5.36,LAB-A
S1027,Kiambu,Millet,2026-01-08,22.8,31.6,14.75,LAB-A
S1028,Kisumu,Groundnuts,2026-01-09,20.2,29.4,4.49,LAB-A
S1029,Meru,Groundnuts,2026-01-09,32.6,27.4,7.15,LAB-B
S1030,Nakuru,Sorghum,2026-01-09,16.0,22.4,2.51,LAB-B
S1031,Nairobi,Maize,2026-01-10,22.1,,0.08,LAB-A
S1032,Nairobi,Millet,2026-01-10,26.8,18.7,10.47,LAB-C
S1033,Machakos,Sorghum,2026-01-10,29.5,19.8,3.52,LAB-A
S1034,Machakos,Sorghum,2026-01-10,20.4,24.3,11.87,LAB-C
S1035,Bungoma,Millet,2026-01-11,30.7,20.0,4.82,LAB-A
S1036,Kiambu,Groundnuts,2026-01-11,28.8,33.3,11.34,LAB-C
S1037,Nakuru,Sorghum,2026-01-11,9.8,30.8,6.4,LAB-B
S1038,Nakuru,Groundnuts,2026-01-12,9.2,22.1,1.06,LAB-C
S1039,Bungoma,Maize,2026-01-12,24.8,27.4,21.17,LAB-A
S1040,Kisumu,Groundnuts,2026-01-12,17.4,33.7,19.67,LAB-B
S1041,Kisumu,Maize,2026-01-12,13.6,32.1,2.7,LAB-C
S1042,Bungoma,Groundnuts,2026-01-13,23.7,27.6,9.12,LAB-C
S1043,Kisumu,Sorghum,2026-01-13,17.2,32.5,15.63,LAB-C
S1044,Machakos,Sorghum,2026-01-13,22.5,33.8,11.45,LAB-C
S1045,Nakuru,Maize,2026-01-14,20.4,29.9,3.81,LAB-C
S1046,Bungoma,Millet,2026-01-14,23.8,19.0,0.01,LAB-B
S1047,Nakuru,Maize,2026-01-14,18.8,,12.94,LAB-B
S1048,Nairobi,Maize,2026-01-15,26.8,31.4,15.05,LAB-B
S1049,Machakos,Groundnuts,2026-01-15,12.9,21.7,19.73,LAB-B
S1050,Meru,Groundnuts,2026-01-15,26.8,31.3,7.5,LAB-A
S1051,Machakos,Maize,2026-01-15,19.1,19.9,4.02,LAB-B
S1052,Bungoma,Sorghum,2026-01-16,31.6,18.8,15.3,LAB-C
S1053,Meru,Groundnuts,2026-01-16,21.9,24.1,6.41,LAB-C
S1054,Nairobi,Millet,2026-01-16,34.3,18.6,15.91,LAB-B
S1055,Bungoma,Groundnuts,2026-01-17,24.3,33.3,4.28,LAB-C
S1056,Kiambu,Groundnuts,2026-01-17,14.0,31.2,1.83,LAB-B
S1057,Nakuru,Millet,2026-01-17,30.2,30.8,7.64,LAB-C
S1058,Nairobi,Maize,2026-01-17,17.3,28.1,4.76,LAB-A
S1059,Nakuru,Millet,2026-01-18,17.4,21.5,12.59,LAB-A
S1060,Kisumu,Maize,2026-01-18,8.9,26.3,19.52,LAB-B
S1061,Kiambu,Maize,2026-01-18,22.8,27.6,12.96,LAB-B
S1062,Kiambu,Maize,2026-01-19,22.4,26.4,4.03,LAB-B
S1063,Nairobi,Millet,2026-01-19,17.6,22.2,6.3,LAB-C
S1064,Kiambu,Maize,2026-01-19,32.1,26.2,6.0,LAB-B
S1065,Meru,Sorghum,2026-01-19,11.5,25.9,4.64,LAB-A
S1066,Kiambu,Millet,2026-01-20,16.9,33.9,5.9,LAB-C
S1067,Nakuru,Sorghum,2026-01-20,16.7,,6.91,LAB-B
S1068,Nakuru,Maize,2026-01-20,10.5,25.4,12.95,LAB-C
S1069,Bungoma,Groundnuts,2026-01-21,21.0,28.0,8.37,LAB-C
S1070,Nakuru,Maize,2026-01-21,26.6,30.0,16.49,LAB-B
S1071,Bungoma,Sorghum,2026-01-21,21.8,18.6,11.56,LAB-C
S1072,Nakuru,Sorghum,2026-01-22,12.2,32.3,3.39,LAB-A
S1073,Meru,Millet,2026-01-22,18.2,31.8,3.52,LAB-A
S1074,Bungoma,Groundnuts,2026-01-22,8.1,25.3,15.99,LAB-C
S1075,Machakos,Millet,2026-01-22,31.4,24.3,3.6,LAB-B
S1076,Kisumu,Sorghum,2026-01-23,10.3,22.4,5.84,LAB-C
S1077,Nairobi,Maize,2026-01-23,24.1,25.6,9.07,LAB-A
S1078,Nakuru,Groundnuts,2026-01-23,34.6,18.7,1.31,LAB-C
S1079,Kiambu,Maize,2026-01-24,22.5,31.6,3.74,LAB-C
